writing	reading	meaning	level
会う	あう	to meet with, see, meet again or for the first time; to come across, meet by accident, bump into; to gather, to come together; to receive guests etc.	N5
青	あお	blue; one of three primary colors; a shade of blue to blue green; green; short for 青信号 (aoshingō): green light (traffic light color, as the color of plants); the black, bluish color of a horse's hair; also, such a horse; short for 青短 (aotan): one of the three hanafuda cards bearing a blue 短冊 (tanzaku, “narrow card used for poetry”); a 役 (yaku) of the three aotan cards, worth 3 points; a blue card in 天正カルタ (Tenshō karuta); short for 青本 (aohon, “a blue-green covered book containing summaries of plays, histories, and legends”); short for 青銭 (aosen, “a 4 mon coin in circulation from 1768”); unripe, young; a female given name; a surname	N5
青い	あおい	blue; green; pale; unripe; green (inexperienced)	N5
赤	あか	red (color); communism, socialism; a communist; entirely	N5
赤い	あかい	red (color)	N5
明い	あかるい	bright	N5
秋	あき	autumn, fall (season)	N5
開く	あく	to open; to begin	N5
開ける	あける	to open; to make (a hole)	N5
上げる	あげる	to raise, to lift; to give (usually not written with kanji); to utter; to cry; to produce; to raise (a voice)	N5
朝	あさ	the morning	N5
朝御飯	あさごはん	breakfast	N5
あさって	あさって	day after tomorrow	N5
足	あし	foot; enough, sufficient; satisfy, fulfill; counter for pairs of socks, shoes, etc.	N5
明日	あした	tomorrow; a female given name	N5
あそこ	あそこ	that place, area, or part over there (far from the speaker and the addressee); that organization or team over there (far from the speaker and the addressee); that place, area, or part we both know (both the speaker and the addressee know); that organization or team we both know (both the speaker and the addressee know); genitals	N5
遊ぶ	あそぶ	play, amuse oneself, enjoy oneself; spend one's time idle, do nothing; for an item not to be in use, be spare or idle	N5
暖かい	あたたかい	physically warm; financially well off, rich; thoughtful, understanding, emotionally warm	N5
頭	あたま	head (body part); the fontanelle part of the skull	N5
新しい	あたらしい	new, novel; latest, recent; modern; fresh	N5
あちら	あちら	彼方: that way; that over there, far away, in the distance; that person	N5
暑い	あつい	hot, baking (of weather)	N5
熱い	あつい	hot (of an object or feeling); hot, feverish; ardent, enthusiastic, impassionate; passionate (of love between a couple)	N5
厚い	あつい	熱い: (of an object or feeling) hot; 熱い: (of one's body temperature) hot, feverish; 熱い: ardent, enthusiastic, impassionate; 熱い: (of love between a couple) passionate; 暑い: (of weather) hot, baking; 厚い: thick; 厚い, 篤い, 惇い, 淳い: hearty, sincere, warm; 篤い: (of sickness) serious	N5
あっち	あっち	alternative form of あちら; I (first person pronoun)	N5
後	あと	the back, the rear, behind; later time, afterwards, some time after the present; time after death; the next person or thing; instead, in place of; successor; descendants, offspring; wife of remarriage; the rest; certain part, space or thing left; memory of the deceased; one's virtue that remains after death; afterwards, then	N5
貴方	あなた	your house, your residence; you (used to address someone of equal social footing)	N5
兄	あに	elder brother; elder brother-in-law; short for 花の兄 (hana no ani): alternative name for the 梅 (ume), the Japanese plum (Prunus mume)	N5
姉	あね	elder sister	N5
